"","sample","Cell_A","Cell_A_num","Cell_A_count","Cell_B","Cell_B_num","Cell_B_count ","original_CLQ","percentile","significant"
"45","lepidic_58.6","PanCK+Vim-MUC1+","3","9","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","26.3696581196581","0.844",FALSE
"46","lepidic_58.6","PanCK+Vim-MUC1+","3","9","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","0","0.002",TRUE
"47","lepidic_58.6","PanCK+Vim-MUC1+","3","9","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","4.66402116402116","0.12",FALSE
"48","lepidic_58.6","PanCK+Vim-MUC1+","3","9","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","433","6.33358994098024","0.092",FALSE
"49","lepidic_58.6","PanCK+Vim-MUC1+","3","9","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","283","9.69061641146447","0.156",FALSE
"50","lepidic_58.6","PanCK+Vim-MUC1+","3","9","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","1966","18.8316378433367","0.726",FALSE
"51","lepidic_58.6","PanCK+Vim-MUC1+","3","9","CD90+PDGFRb-PDPN-CAV1-","15","38","0","0.002",TRUE
"52","lepidic_58.6","PanCK+Vim-MUC1+","3","9","CD90-PDGFRb+PDPN-CAV1-","16","1","0","0.002",TRUE
"53","lepidic_58.6","PanCK+Vim-MUC1+","3","9","CD90-PDGFRb-PDPN+CAV1-","17","30","0","0.002",TRUE
"54","lepidic_58.6","PanCK+Vim-MUC1+","3","9","CD90-PDGFRb-PDPN-CAV1+","18","35","39.1777777777778","0.668",FALSE
"55","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","PanCK+Vim+MUC1+","1","15","33.0639178844816","1",TRUE
"56","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","PanCK+Vim+MUC1-","2","2198","27.5487065010704","1",TRUE
"57","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","PanCK+Vim-MUC1+","3","9","23.6170842032011","0.97",TRUE
"58","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","PanCK+Vim-MUC1-","4","1916","33.5067732493173","1",TRUE
"59","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","PanCK-Vim-MUC1-","5","446","13.3297403503188","0",TRUE
"60","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","PanCK-Vim+MUC1+","6","9","6.4410229645094","0",TRUE
"61","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","PanCK-Vim+MUC1-","7","765","10.5161276897676","0",TRUE
"62","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","PanCK-Vim-MUC1+","8","12","6.97777487821851","0",TRUE
"63","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","10.7763268829292","0",TRUE
"64","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","0","0.002",TRUE
"65","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","6.22194055075057","0",TRUE
"66","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","433","13.5365609646733","0",TRUE
"67","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","283","3.66432755224739","0",TRUE
"68","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","1966","15.0836570338765","0",TRUE
"69","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","CD90+PDGFRb-PDPN-CAV1-","15","38","17.458562245907","0.632",FALSE
"70","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","CD90-PDGFRb+PDPN-CAV1-","16","1","0","0.002",TRUE
"71","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","CD90-PDGFRb-PDPN+CAV1-","17","30","13.955549756437","0.052",FALSE
"72","lepidic_58.6","PanCK+Vim-MUC1-","4","1916","CD90-PDGFRb-PDPN-CAV1+","18","35","9.7535490605428","0",TRUE
"73","lepidic_58.6","PanCK-Vim-MUC1-","5","446","PanCK+Vim+MUC1+","1","15","12.9128550074738","0.296",FALSE
"74","lepidic_58.6","PanCK-Vim-MUC1-","5","446","PanCK+Vim+MUC1-","2","2198","14.1247465082403","0",TRUE
