"","sample","Cell_A","Cell_A_num","Cell_A_count","Cell_B","Cell_B_num","Cell_B_count ","original_CLQ","percentile","significant"
"47","TAFs1","PanCK+Vim-MUC1+","3","955","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","59","10.6739018546455","0",TRUE
"48","TAFs1","PanCK+Vim-MUC1+","3","955","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","255","9.27531875577456","0",TRUE
"49","TAFs1","PanCK+Vim-MUC1+","3","955","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","14","16.4822737471952","0.104",FALSE
"50","TAFs1","PanCK+Vim-MUC1+","3","955","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","72","13.0866201279814","0",TRUE
"51","TAFs1","PanCK+Vim-MUC1+","3","955","CD90+PDGFRb-PDPN-CAV1-","15","358","17.0405071806721","0",TRUE
"52","TAFs1","PanCK+Vim-MUC1+","3","955","CD90-PDGFRb+PDPN-CAV1-","16","145","16.2454594692183","0",TRUE
"53","TAFs1","PanCK+Vim-MUC1+","3","955","CD90-PDGFRb-PDPN+CAV1-","17","482","16.2372053616041","0",TRUE
"54","TAFs1","PanCK+Vim-MUC1+","3","955","CD90-PDGFRb-PDPN-CAV1+","18","107","16.9829035572736","0",TRUE
"55","TAFs1","PanCK+Vim-MUC1-","4","358","PanCK+Vim+MUC1+","1","69","19.5148166140393","0.382",FALSE
"56","TAFs1","PanCK+Vim-MUC1-","4","358","PanCK+Vim+MUC1-","2","65","32.7505801461109","1",TRUE
"57","TAFs1","PanCK+Vim-MUC1-","4","358","PanCK+Vim-MUC1+","3","955","21.8478370236041","1",TRUE
"58","TAFs1","PanCK+Vim-MUC1-","4","358","PanCK+Vim-MUC1-","4","358","59.0910833607186","1",TRUE
"59","TAFs1","PanCK+Vim-MUC1-","4","358","PanCK-Vim-MUC1-","5","518","17.2554895278359","0",TRUE
"60","TAFs1","PanCK+Vim-MUC1-","4","358","PanCK-Vim+MUC1+","6","12","6.41201117318436","0",TRUE
"61","TAFs1","PanCK+Vim-MUC1-","4","358","PanCK-Vim+MUC1-","7","170","13.0503286230693","0",TRUE
"62","TAFs1","PanCK+Vim-MUC1-","4","358","PanCK-Vim-MUC1+","8","105","20.0299015695664","0.502",FALSE
"63","TAFs1","PanCK+Vim-MUC1-","4","358","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","807","4.6878396433442","0",TRUE
