"","PanCK+Vim+MUC1+","PanCK+Vim+MUC1-","PanCK+Vim-MUC1+","PanCK+Vim-MUC1-","PanCK-Vim-MUC1-","PanCK-Vim+MUC1+","PanCK-Vim+MUC1-","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb+PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-","CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb+PDPN-CAV1-","CD90-PDGFRb-PDPN+CAV1-","CD90-PDGFRb-PDPN-CAV1+"
"PanCK+Vim+MUC1+",111.546035805627,29.6853957636566,23.5489490856666,21.5592259736054,19.6525935873762,0,14.8728047740835,18.3766735679779,16.0775281504229,24.3425238600212,13.5327929255711,15.9165103722648,4.75258799171843,2.77234299516908,21.3733705772812,13.3072463768116,14.3563653857718,17.4113503995666
"PanCK+Vim+MUC1-",32.7562987736901,52.9730769230769,24.0366492146597,33.1451654490761,15.2715176715177,0,20.3582805429864,13.4534798534799,9.18987703746068,8.61350844277674,15.5627118644068,12.4642533936652,5.04505494505495,6.86688034188034,19.9265577997422,25.8167639257294,27.4023938716885,19.1429187634795
"PanCK+Vim-MUC1+",23.4792776386676,23.8147724526782,38.6047735080729,20.8541431454561,17.2989629869211,9.61465968586387,13.262574684324,17.3979556220394,10.2103635077885,16.8842804239561,10.6739018546455,9.27531875577456,16.4822737471952,13.0866201279814,17.0405071806721,16.2454594692183,16.2372053616041,16.9829035572736
"PanCK+Vim-MUC1-",19.5148166140393,32.7505801461109,21.8478370236041,59.0910833607186,17.2554895278359,6.41201117318436,13.0503286230693,20.0299015695664,4.6878396433442,25.6480446927374,7.39011457248367,7.74470369153248,2.74800478850758,10.3304624456859,21.0270980930683,23.8792140242728,22.7480064442848,28.6443115960946
"PanCK-Vim-MUC1-",17.4689720776677,14.3170478170478,18.0414077503083,17.4535439270076,51.2061604295647,15.5101351351351,18.1429479900068,34.016786173929,8.05022414873716,16.6450230718523,9.91446894836725,13.7983723219017,5.69760066188638,11.4479568854569,19.1370063199672,20.8431766742112,18.8291385635784,15.98641431819
"PanCK-Vim+MUC1+",5.54468599033816,5.88589743589744,8.41282722513089,5.3433426443203,15.5101351351351,1043.40909090909,51.7612745098039,109.309523809524,14.2224287484511,0,19.4533898305085,88.5192810457516,81.9821428571429,31.8819444444444,3.20600558659218,0,1.58748271092669,7.15109034267913
"PanCK-Vim+MUC1-",15.2641943734015,21.6047058823529,13.4605235602094,12.5222806441012,18.6642970701794,54.0117647058823,85.8115906717717,13.1171428571429,23.8602157591661,10.5388809182209,30.6676969092722,27.9590311418685,19.2899159663866,22.1298202614379,13.27663489977,21.6047058823529,13.0547107639736,10.3480483782298
"PanCK-Vim-MUC1+",19.6440303657695,12.7808058608059,16.436489653453,17.3429635541367,33.4259238830667,116.596825396825,12.6027450980392,155.976282051282,8.93981235616923,6.398606271777,12.598385794996,18.0039215686275,24.9850340136054,10.9309523809524,15.9994945464219,8.7447619047619,17.779806362379,10.6244770805518
"aSMA+CD90+PDGFRb+PDPN+CAV1+",15.8301815634933,8.40217329139262,10.75245398574,4.38591098834915,8.13808471243415,20.8595621643949,23.7932866827028,10.5652327845636,64.3150227076357,16.6506482908695,34.0374057505303,22.5997181524407,50.7943883873252,36.1881798155032,4.49714786124207,7.92532581292997,4.08378452030213,3.61542113979316
"aSMA+CD90+PDGFRb-PDPN+CAV1+",16.2283492400141,6.89080675422139,16.1807687396246,30.0269791524731,19.4552217722949,0,9.88020086083214,17.062950058072,18.0382023151087,260.343292682927,13.2852418354692,13.6127211860354,15.9965156794425,20.2178184281843,20.330767134487,5.40571909167368,20.9083088756199,13.604513334853
"aSMA+CD90+PDGFRb-PDPN-CAV1+",14.6605256693687,11.9713168187744,9.85910018635194,9.12896506012688,10.2149074013481,38.906779661017,28.8367896311067,11.8573042776433,29.794782937433,11.3873501446879,299.179719462303,54.9272183449651,11.1162227602906,56.19868173258,3.47770097528643,9.1229690239626,5.00460651241297,3.63614763187074
"aSMA+CD90+PDGFRb-PDPN-CAV1-",13.8290991759022,13.5721870286576,8.67204599117134,7.74470369153248,13.5898326898327,97.5212418300653,27.9590311418685,19.3756489262372,23.3805573778458,10.0997608799617,58.2838816882685,98.9506870464721,16.7179271708683,44.7597494553377,14.88592397853,7.32573360378634,10.3840045561793,11.4417445482866
"aSMA+CD90-PDGFRb-PDPN-CAV1+",4.75258799171843,10.0901098901099,20.602842183994,4.58000798084597,7.59680088251517,109.309523809524,19.2899159663866,34.3544217687075,48.3562577447336,7.99825783972125,11.1162227602906,16.7179271708683,302.703296703297,77.4275793650794,3.66400638467678,2.2615763546798,3.40174866627149,3.06475300400534
"aSMA+CD90-PDGFRb-PDPN-CAV1-",5.54468599033816,3.92393162393162,13.1533885980221,10.8647967101179,9.72460853710854,42.5092592592593,22.8799836601307,12.7527777777778,35.9511393363624,13.9969512195122,56.19868173258,41.0089324618736,68.3184523809524,131.120109546166,9.79612818125388,11.4335249042146,8.86344513600738,8.34293873312565
"CD90+PDGFRb-PDPN-CAV1-",26.7631770706825,23.8724108293941,19.0413232326187,23.3913033301083,21.3898751105455,8.54934823091248,14.3327308577062,16.7322958233573,5.46649775359459,23.7713584957079,5.65126408484045,17.0484061781137,4.58000798084597,9.97423960273122,41.0943461183356,25.0289539587748,28.5746887966805,33.3184879653318
"CD90-PDGFRb+PDPN-CAV1-",15.1427286356822,27.2780901856764,18.3010074020581,26.7977846272395,22.9213819731061,0,20.4872210953347,8.4432183908046,9.45546297483228,7.72245584524811,15.0260666277031,8.31905341446924,2.2615763546798,14.5117816091954,27.2399922943556,59.1465038314176,26.2098869652311,25.7439252336449
"CD90-PDGFRb-PDPN+CAV1-",16.4269950087197,30.3331311841685,17.872894353805,25.4618037043047,20.4840433201429,2.38122406639004,15.0717476202099,23.5854574194823,5.55914019960203,21.3729379617448,6.29611787045503,10.9069400374258,6.80349733254298,11.5092496542185,28.8673532070748,27.0638431821434,39.842185626418,36.2302128979718
"CD90-PDGFRb-PDPN-CAV1+",19.8986861709332,26.4040258806614,18.1061114645007,34.0375920221375,15.2409338577563,14.3021806853583,11.6100054975261,16.3453493546951,4.8914521303084,12.5580123090951,7.27229526374149,13.1243540406817,6.12950600801068,8.34293873312565,34.2772933744061,25.7439252336449,35.1620002326754,53.0260095221301
