"","Cell_A","Cell_B","lepidic_58.6"
"68","PanCK+Vim-MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.335304452825825
"69","PanCK+Vim-MUC1-","CD90+PDGFRb-PDPN-CAV1-",-0.273111001297241
"70","PanCK+Vim-MUC1-","CD90-PDGFRb+PDPN-CAV1-",NA
"71","PanCK+Vim-MUC1-","CD90-PDGFRb-PDPN+CAV1-",-0.364847057272968
"72","PanCK+Vim-MUC1-","CD90-PDGFRb-PDPN-CAV1+",-0.474888049763667
"73","PanCK-Vim-MUC1-","PanCK+Vim+MUC1+",-0.392152898786241
"74","PanCK-Vim-MUC1-","PanCK+Vim+MUC1-",-0.360416173072299
"75","PanCK-Vim-MUC1-","PanCK+Vim-MUC1+",0.155342250349074
"76","PanCK-Vim-MUC1-","PanCK+Vim-MUC1-",-0.386530366323211
"77","PanCK-Vim-MUC1-","PanCK-Vim-MUC1-",0.912716570996932
"78","PanCK-Vim-MUC1-","PanCK-Vim+MUC1+",0.0748282578291742
"79","PanCK-Vim-MUC1-","PanCK-Vim+MUC1-",0.341945268306958
"80","PanCK-Vim-MUC1-","PanCK-Vim-MUC1+",0.115085254089124
"81","PanCK-Vim-MUC1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",0.0221844934892403
"82","PanCK-Vim-MUC1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"83","PanCK-Vim-MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.286663137158129
"84","PanCK-Vim-MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.326997926548428
"85","PanCK-Vim-MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.056896047954264
"86","PanCK-Vim-MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.311237564899761
"87","PanCK-Vim-MUC1-","CD90+PDGFRb-PDPN-CAV1-",-0.215445873097829
"88","PanCK-Vim-MUC1-","CD90-PDGFRb+PDPN-CAV1-",NA
"89","PanCK-Vim-MUC1-","CD90-PDGFRb-PDPN+CAV1-",-0.41630709654221
"90","PanCK-Vim-MUC1-","CD90-PDGFRb-PDPN-CAV1+",0.0564250595389116
"91","PanCK-Vim+MUC1+","PanCK+Vim+MUC1+",-0.730311667369816
"92","PanCK-Vim+MUC1+","PanCK+Vim+MUC1-",-0.681299964916847
"93","PanCK-Vim+MUC1+","PanCK+Vim-MUC1+",3.25960396194963
"94","PanCK-Vim+MUC1+","PanCK+Vim-MUC1-",-0.542893918602201
"95","PanCK-Vim+MUC1+","PanCK-Vim-MUC1-",0.155342250349074
"96","PanCK-Vim+MUC1+","PanCK-Vim+MUC1+",3.34342571886811
"97","PanCK-Vim+MUC1+","PanCK-Vim+MUC1-",0.255432193991458
"98","PanCK-Vim+MUC1+","PanCK-Vim-MUC1+",3.34342571886811
"99","PanCK-Vim+MUC1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",3.34342571886811
"100","PanCK-Vim+MUC1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"101","PanCK-Vim+MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.241750569902128
"102","PanCK-Vim+MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.730311667369816
"103","PanCK-Vim+MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",0.411678318407127
"104","PanCK-Vim+MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.383274244880688
"105","PanCK-Vim+MUC1+","CD90+PDGFRb-PDPN-CAV1-",-0.730311667369816
"106","PanCK-Vim+MUC1+","CD90-PDGFRb+PDPN-CAV1-",NA
"107","PanCK-Vim+MUC1+","CD90-PDGFRb-PDPN+CAV1-",1.66363771022185
"108","PanCK-Vim+MUC1+","CD90-PDGFRb-PDPN-CAV1+",-0.730311667369816
"109","PanCK-Vim+MUC1-","PanCK+Vim+MUC1+",-0.336014122825306
"110","PanCK-Vim+MUC1-","PanCK+Vim+MUC1-",-0.423363868085929
"111","PanCK-Vim+MUC1-","PanCK+Vim-MUC1+",-0.354790196375044
"112","PanCK-Vim+MUC1-","PanCK+Vim-MUC1-",-0.468367802033432
"113","PanCK-Vim+MUC1-","PanCK-Vim-MUC1-",0.323000799478746
"114","PanCK-Vim+MUC1-","PanCK-Vim+MUC1+",0.255432193991458
"115","PanCK-Vim+MUC1-","PanCK-Vim+MUC1-",1.09058653876108
"116","PanCK-Vim+MUC1-","PanCK-Vim-MUC1+",0.0442013665569004
"117","PanCK-Vim+MUC1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.185986073596146
"118","PanCK-Vim+MUC1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"119","PanCK-Vim+MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.027645853658938
"120","PanCK-Vim+MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.279555813906694
"121","PanCK-Vim+MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.0615384469409648
"122","PanCK-Vim+MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.379191451674935
"123","PanCK-Vim+MUC1-","CD90+PDGFRb-PDPN-CAV1-",-0.330084836441179
"124","PanCK-Vim+MUC1-","CD90-PDGFRb+PDPN-CAV1-",NA
"125","PanCK-Vim+MUC1-","CD90-PDGFRb-PDPN+CAV1-",-0.42050645379913
"126","PanCK-Vim+MUC1-","CD90-PDGFRb-PDPN-CAV1+",0.114611642368419
"127","PanCK-Vim-MUC1+","PanCK+Vim+MUC1+",-0.730311667369816
"128","PanCK-Vim-MUC1+","PanCK+Vim+MUC1-",-0.595529485624152
"129","PanCK-Vim-MUC1+","PanCK+Vim-MUC1+",-0.730311667369816
"130","PanCK-Vim-MUC1+","PanCK+Vim-MUC1-",-0.561635693478962
"131","PanCK-Vim-MUC1+","PanCK-Vim-MUC1-",0.175470748479048
"132","PanCK-Vim-MUC1+","PanCK-Vim+MUC1+",3.34342571886811
"133","PanCK-Vim-MUC1+","PanCK-Vim+MUC1-",0.149816780274179
"134","PanCK-Vim-MUC1+","PanCK-Vim-MUC1+",3.34342571886811
"135","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",3.34342571886811
"136","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"137","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.363890844269051
"138","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.543716305952452
"139","PanCK-Vim-MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",0.221346654110971
"140","PanCK-Vim-MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.497431291752112
"141","PanCK-Vim-MUC1+","CD90+PDGFRb-PDPN-CAV1-",-0.730311667369816
"142","PanCK-Vim-MUC1+","CD90-PDGFRb+PDPN-CAV1-",NA
"143","PanCK-Vim-MUC1+","CD90-PDGFRb-PDPN+CAV1-",-0.730311667369816
"144","PanCK-Vim-MUC1+","CD90-PDGFRb-PDPN-CAV1+",-0.730311667369816
"145","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK+Vim+MUC1+",-0.315974275094335
"146","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK+Vim+MUC1-",-0.441896649088887
"147","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK+Vim-MUC1+",-0.0397493469106822
"148","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK+Vim-MUC1-",-0.516222931277579
"149","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK-Vim-MUC1-",0.0639898357591891
"150","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK-Vim+MUC1+",3.34342571886811
"151","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK-Vim+MUC1-",-0.129116235440686
