"","Cell_A","Cell_B","TAFs1"
"68","PanCK+Vim-MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.631494403809465
"69","PanCK+Vim-MUC1-","CD90+PDGFRb-PDPN-CAV1-",0.0492913967865386
"70","PanCK+Vim-MUC1-","CD90-PDGFRb+PDPN-CAV1-",0.230813895226768
"71","PanCK+Vim-MUC1-","CD90-PDGFRb-PDPN+CAV1-",0.15881835537954
"72","PanCK+Vim-MUC1-","CD90-PDGFRb-PDPN-CAV1+",0.534087828479287
"73","PanCK-Vim-MUC1-","PanCK+Vim+MUC1+",-0.177165009495631
"74","PanCK-Vim-MUC1-","PanCK+Vim+MUC1-",-0.377768764911866
"75","PanCK-Vim-MUC1-","PanCK+Vim-MUC1+",-0.140732425407034
"76","PanCK-Vim-MUC1-","PanCK+Vim-MUC1-",-0.17814693187245
"77","PanCK-Vim-MUC1-","PanCK-Vim-MUC1-",1.970033375038
"78","PanCK-Vim-MUC1-","PanCK-Vim+MUC1+",-0.30183489824569
"79","PanCK-Vim-MUC1-","PanCK-Vim+MUC1-",-0.134269911804192
"80","PanCK-Vim-MUC1-","PanCK-Vim-MUC1+",0.87601818183742
"81","PanCK-Vim-MUC1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.776619834431923
"82","PanCK-Vim-MUC1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",-0.2296051226364
"83","PanCK-Vim-MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.657970248687299
"84","PanCK-Vim-MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.410779790420525
"85","PanCK-Vim-MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.926352209806288
"86","PanCK-Vim-MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.560371634751957
"87","PanCK-Vim-MUC1-","CD90+PDGFRb-PDPN-CAV1-",-0.071003215778435
"88","PanCK-Vim-MUC1-","CD90-PDGFRb+PDPN-CAV1-",0.0375857451675621
"89","PanCK-Vim-MUC1-","CD90-PDGFRb-PDPN+CAV1-",-0.0905974137973358
"90","PanCK-Vim-MUC1-","CD90-PDGFRb-PDPN-CAV1+",-0.271522179776815
"91","PanCK-Vim+MUC1+","PanCK+Vim+MUC1+",-0.93608444155883
"92","PanCK-Vim+MUC1+","PanCK+Vim+MUC1-",-0.91436808935285
"93","PanCK-Vim+MUC1+","PanCK+Vim-MUC1+",-0.753542015031607
"94","PanCK-Vim+MUC1+","PanCK+Vim-MUC1-",-0.948898909166408
"95","PanCK-Vim+MUC1+","PanCK-Vim-MUC1-",-0.30183489824569
"96","PanCK-Vim+MUC1+","PanCK-Vim+MUC1+",2.8043449843208
"97","PanCK-Vim+MUC1+","PanCK-Vim+MUC1-",2.00536352892898
"98","PanCK-Vim+MUC1+","PanCK-Vim-MUC1+",2.8043449843208
"99","PanCK-Vim+MUC1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.383790781599143
"100","PanCK-Vim+MUC1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",-1.28897516490599
"101","PanCK-Vim+MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.0508670338405244
"102","PanCK-Vim+MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",2.8043449843208
"103","PanCK-Vim+MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",2.8043449843208
"104","PanCK-Vim+MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",0.740146494340185
"105","PanCK-Vim+MUC1+","CD90+PDGFRb-PDPN-CAV1-",-1.08492941146224
"106","PanCK-Vim+MUC1+","CD90-PDGFRb+PDPN-CAV1-",-1.28897516490599
"107","PanCK-Vim+MUC1+","CD90-PDGFRb-PDPN+CAV1-",-1.18794006154104
"108","PanCK-Vim+MUC1+","CD90-PDGFRb-PDPN-CAV1+",-0.833845073112456
"109","PanCK-Vim+MUC1-","PanCK+Vim+MUC1+",-0.317487761809101
"110","PanCK-Vim+MUC1-","PanCK+Vim+MUC1-",0.0860531594772993
"111","PanCK-Vim+MUC1-","PanCK+Vim-MUC1+",-0.432282125106978
"112","PanCK-Vim+MUC1-","PanCK+Vim-MUC1-",-0.491996457337463
"113","PanCK-Vim+MUC1-","PanCK-Vim-MUC1-",-0.101088726370233
"114","PanCK-Vim+MUC1-","PanCK-Vim+MUC1+",2.14859564605224
"115","PanCK-Vim+MUC1-","PanCK-Vim+MUC1-",2.8043449843208
"116","PanCK-Vim+MUC1-","PanCK-Vim-MUC1+",-0.45413653938756
"117","PanCK-Vim+MUC1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",0.229604753441728
"118","PanCK-Vim+MUC1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",-0.618229640816583
"119","PanCK-Vim+MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",0.662865888773684
"120","PanCK-Vim+MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",0.490473254884152
"121","PanCK-Vim+MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.0612713038494764
"122","PanCK-Vim+MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",0.119473986806062
"123","PanCK-Vim+MUC1-","CD90+PDGFRb-PDPN-CAV1-",-0.443985691821284
"124","PanCK-Vim+MUC1-","CD90-PDGFRb+PDPN-CAV1-",0.0860531594772993
"125","PanCK-Vim+MUC1-","CD90-PDGFRb-PDPN+CAV1-",-0.458110020763599
"126","PanCK-Vim+MUC1-","CD90-PDGFRb-PDPN-CAV1+",-0.630375149722404
"127","PanCK-Vim-MUC1+","PanCK+Vim+MUC1+",-0.0387337450474756
"128","PanCK-Vim-MUC1+","PanCK+Vim+MUC1-",-0.475542657990597
"129","PanCK-Vim-MUC1+","PanCK+Vim-MUC1+",-0.242877201341888
"130","PanCK-Vim-MUC1+","PanCK+Vim-MUC1-",-0.185184803419804
"131","PanCK-Vim-MUC1+","PanCK-Vim-MUC1-",0.838412838345599
"132","PanCK-Vim-MUC1+","PanCK-Vim+MUC1+",2.8043449843208
"133","PanCK-Vim-MUC1+","PanCK-Vim+MUC1-",-0.486875309015738
